archetype #,Feature Name,P value (Mann-Whitney),Median Difference,Mean Difference,Significant after Benjamini-Hochberg correction?,Is first bin maximal?
1,PID INTEGRIN4 PATHWAY,9.2696e-08,1.5122,1.4388,1,1
1,CYTOPLASM ORGANIZATION AND BIOGENESIS,8.0176e-08,1.2803,1.1731,1,1
1,PID INTEGRIN5 PATHWAY,5.2837e-06,1.2107,1.0512,1,1
1,REACTOME SMOOTH MUSCLE CONTRACTION,3.6563e-08,1.1933,1.3371,1,1
1,BIOCARTA PLATELETAPP PATHWAY,2.9301e-06,1.1574,0.96445,1,1
1,EXTRACELLULAR MATRIX STRUCTURAL CONSTITUENT,7.2756e-08,1.122,1.1364,1,1
1,REACTOME EXTRINSIC PATHWAY FOR APOPTOSIS,8.628e-07,1.111,1.0566,1,1
1,REACTOME YAP1 AND WWTR1 TAZ STIMULATED GENE EXPRESSION,7.2756e-08,0.99584,0.91805,1,1
1,SA MMP CYTOKINE CONNECTION,1.5331e-06,0.96233,0.97717,1,1
1,PID UPA UPAR PATHWAY,7.2756e-08,0.95392,1.1326,1,1
1,REACTOME CELL EXTRACELLULAR MATRIX INTERACTIONS,2.0033e-05,0.93894,1.01,1,1
1,BIOCARTA FIBRINOLYSIS PATHWAY,1.6729e-06,0.90828,0.84052,1,1
1,PID INTEGRIN3 PATHWAY,6.2985e-07,0.90301,0.90249,1,1
1,PID INTEGRIN1 PATHWAY,7.2756e-08,0.90005,1.0014,1,1
1,PID A6B1 A6B4 INTEGRIN PATHWAY,7.889e-07,0.89452,0.76235,1,1
1,REACTOME METABOLISM OF PORPHYRINS,9.8628e-07,0.86,0.83976,1,1
1,BIOCARTA TOB1 PATHWAY,1.2962e-05,0.85389,0.72085,1,1
1,REACTOME SIGNALING BY HIPPO,1.349e-05,0.83835,0.79199,1,1
1,BIOCARTA AMI PATHWAY,4.6597e-05,0.82992,0.60213,1,1
1,REACTOME ANTIGEN PROCESSING CROSS PRESENTATION,7.5427e-07,0.82553,0.77934,1,1
1,KEGG ECM RECEPTOR INTERACTION,5.6999e-08,0.79525,0.88968,1,1
1,REACTOME CROSS PRESENTATION OF SOLUBLE EXOGENOUS ANTIGENS ENDOSOMES,2.0784e-06,0.78602,0.68044,1,1
1,PID INTEGRIN CS PATHWAY,4.1802e-07,0.77053,0.85518,1,1
1,POSITIVE REGULATION OF CELL CYCLE,4.1617e-05,0.76957,0.58491,1,1
1,PID SYNDECAN 4 PATHWAY,3.7791e-06,0.76572,0.75796,1,1
1,REACTOME HYALURONAN METABOLISM,8.628e-07,0.76547,0.71295,1,1
1,POSITIVE REGULATION OF PHOSPHATE METABOLIC PROCESS,5.6999e-08,0.76536,0.86582,1,1
1,REGULATION OF PROTEIN IMPORT INTO NUCLEUS,1.4674e-06,0.76107,0.71312,1,1
1,PID PDGFRAPATHWAY,0.00032948,0.75628,0.52413,1,1
