archetype #,Feature Name,P value (Hypergeom.),Significant after Benjamini-Hochberg correction?,Is first bin maximal?
1,overall survival: 90,0.049383,1,1
1,progression-free survival: 23,0.049383,1,1
1,progression-free survival: 37,0.049383,1,1
1,overall survival: 42,0.096914,1,1
1,overall survival: 76,0.096914,1,1
1,response cluster: None,0.18661,1,1
1,overall survival: NA,0.18661,1,1
1,response cluster: Exceptional,0.2537,1,1
1,pfs cluster: Exceptional,0.38164,1,1
1,pfs cluster: Average,0.56681,1,0
1,progression-free survival: NA,0.818,1,0
1,pfs cluster: NA,0.818,1,0
1,response cluster: Average,0.87265,1,0
1,response cluster: Poor,1,1,0
1,overall survival: 10,1,1,0
1,overall survival: 106,1,1,0
1,overall survival: 11,1,1,0
1,overall survival: 115,1,1,0
1,overall survival: 12,1,1,0
1,overall survival: 13,1,1,0
1,overall survival: 15,1,1,0
1,overall survival: 16,1,1,0
1,overall survival: 164,1,1,0
1,overall survival: 17,1,1,0
1,overall survival: 19,1,1,0
1,overall survival: 2,1,1,0
1,overall survival: 20,1,1,0
1,overall survival: 21,1,1,0
1,overall survival: 22,1,1,0
1,overall survival: 23,1,1,0
1,overall survival: 25,1,1,0
1,overall survival: 27,1,1,0
1,overall survival: 28,1,1,0
1,overall survival: 29,1,1,0
1,overall survival: 3,1,1,0
1,overall survival: 30,1,1,0
1,overall survival: 31,1,1,0
1,overall survival: 32,1,1,0
1,overall survival: 33,1,1,0
1,overall survival: 34,1,1,0
1,overall survival: 38,1,1,0
1,overall survival: 39,1,1,0
1,overall survival: 4,1,1,0
1,overall survival: 43,1,1,0
1,overall survival: 46,1,1,0
1,overall survival: 48,1,1,0
1,overall survival: 5,1,1,0
1,overall survival: 58,1,1,0
1,overall survival: 65,1,1,0
1,overall survival: 69,1,1,0
1,overall survival: 7,1,1,0
1,overall survival: 72,1,1,0
1,overall survival: 77,1,1,0
1,overall survival: 79,1,1,0
1,overall survival: 8,1,1,0
1,overall survival: 84,1,1,0
1,overall survival: 95,1,1,0
