archetype #,Feature Name,P value (Mann-Whitney),Median Difference,Mean Difference,Significant after Benjamini-Hochberg correction?,Is first bin maximal?
1,GO_BLEB_ASSEMBLY,6.6003e-08,1.7343,1.5719,1,1
1,GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_PEPTIDE_ANTIGEN,6.7728e-06,1.7175,1.4925,1,1
1,GO_MEMBRANE_RAFT_ASSEMBLY,6.0198e-07,1.4257,1.6445,1,1
1,GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN,1.0184e-05,1.3467,1.1695,1,1
1,GO_NEGATIVE_REGULATION_OF_VIRAL_ENTRY_INTO_HOST_CELL,5.4272e-08,1.303,1.2366,1,1
1,GO_POSITIVE_REGULATION_BY_SYMBIONT_OF_ENTRY_INTO_HOST,1.3441e-06,1.2854,1.1482,1,1
1,GO_MODULATION_BY_SYMBIONT_OF_ENTRY_INTO_HOST,7.6379e-08,1.2584,1.1116,1,1
1,GO_REGULATION_OF_T_HELPER_2_CELL_DIFFERENTIATION,2.8891e-07,1.2317,1.0967,1,1
1,GO_RESPONSE_TO_INTERFERON_ALPHA,1.4963e-07,1.2191,1.2698,1,1
1,GO_REGULATION_OF_TAU_PROTEIN_KINASE_ACTIVITY,3.9418e-06,1.1702,1.2062,1,1
1,GO_REGULATION_OF_PHOSPHOLIPASE_A2_ACTIVITY,3.479e-08,1.1619,1.0771,1,1
1,GO_REGULATION_OF_PLASMINOGEN_ACTIVATION,2.3418e-05,1.1467,0.95586,1,1
1,GO_T_HELPER_2_CELL_DIFFERENTIATION,1.2366e-07,1.1353,1.0767,1,1
1,GO_NEGATIVE_REGULATION_OF_HIPPO_SIGNALING,4.2424e-08,1.134,1.0678,1,1
1,GO_REGULATION_OF_VIRAL_ENTRY_INTO_HOST_CELL,1.3605e-07,1.0998,1.0618,1,1
1,GO_REGULATION_OF_EXTRACELLULAR_MATRIX_ASSEMBLY,6.5149e-05,1.0667,0.85449,1,1
1,GO_POSITIVE_REGULATION_OF_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS,1.4268e-07,1.054,0.9941,1,1
1,GO_NEGATIVE_REGULATION_OF_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY,9.7801e-06,1.0428,0.90089,1,1
1,GO_NEUTROPHIL_HOMEOSTASIS,2.5122e-07,1.0348,1.0035,1,1
1,GO_HYALURONAN_CATABOLIC_PROCESS,3.479e-08,1.0272,1.1009,1,1
1,GO_RESPONSE_TO_INTERFERON_BETA,1.1776e-06,1.0058,1.033,1,1
1,GO_GLYCOPROTEIN_CATABOLIC_PROCESS,1.1788e-07,0.99651,0.90864,1,1
1,GO_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ASSEMBLY,3.6228e-06,0.9933,0.89653,1,1
1,GO_EXTRACELLULAR_MATRIX_CONSTITUENT_SECRETION,8.4205e-05,0.98701,0.74943,1,1
1,GO_NEGATIVE_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY,4.6623e-06,0.98231,0.88503,1,1
1,GO_TRAIL_ACTIVATED_APOPTOTIC_SIGNALING_PATHWAY,2.3975e-07,0.9695,0.97875,1,1
1,GO_WOUND_HEALING_SPREADING_OF_EPIDERMAL_CELLS,4.0375e-08,0.9585,0.95684,1,1
1,GO_PYRIMIDINE_RIBONUCLEOSIDE_METABOLIC_PROCESS,9.0221e-07,0.95684,0.92944,1,1
1,GO_ANTIGEN_PROCESSING_AND_PRESENTATION_VIA_MHC_CLASS_IB,7.3528e-06,0.94575,0.92346,1,1
