_A1BG	2.17	2.44	1.59	2.64	3.69
A2M	2.95	7.39	6.53	4.99	5.59
A2ML1	-0.12	0.10	0.16	0.15	0.06
A4GALT	1.58	3.48	2.53	3.08	2.91
AAAS	2.74	3.52	3.79	4.02	4.41
AACS	3.47	4.22	3.79	4.35	5.65
AADAC	-0.03	1.52	0.56	-0.17	1.13
AADACL2	0.43	0.12	0.79	0.14	-0.02
AADAT	1.50	1.38	3.07	3.07	3.11
AAGAB	3.94	4.18	4.21	4.40	4.34
AAK1	-0.13	1.81	2.18	2.54	2.89
AAMP	4.59	5.29	5.05	5.19	5.72
AANAT	0.13	0.07	0.22	0.50	0.12
AARS	3.70	5.02	4.82	5.30	6.06
AARS2	1.63	2.96	3.78	3.64	4.23
AASDH	1.51	2.46	2.80	2.75	3.12
AASDHPPT	4.01	3.77	4.25	4.04	4.41
AASS	-0.28	2.11	3.21	2.83	2.61
AATF	3.88	4.50	4.56	4.80	4.73
AATK	-0.02	1.26	0.96	2.36	2.42
ABAT	0.72	2.33	0.74	3.57	3.13
ABCA1	-0.04	3.24	3.14	3.22	2.57
ABCA10	-0.44	0.81	0.98	0.88	1.37
ABCA12	0.30	0.76	0.42	-0.09	1.14
ABCA13	-0.39	0.33	0.59	0.77	0.63
ABCA2	0.56	2.69	2.15	2.94	4.56
ABCA3	1.63	3.89	2.40	3.38	5.33
ABCA4	0.09	0.26	0.32	0.51	0.14
ABCA5	1.24	1.98	2.02	2.95	3.27
ABCA6	-0.54	2.23	1.67	0.58	1.14
ABCA7	0.91	3.05	2.88	2.83	3.77
ABCA8	-0.46	1.78	1.75	0.62	1.10
ABCA9	-0.76	1.75	1.49	0.77	1.21
ABCB1	-0.13	2.04	1.18	0.96	0.53
ABCB10	2.65	3.16	3.38	3.69	3.75
ABCB4	-0.23	0.51	0.52	0.31	0.15
ABCB6	2.27	3.01	3.17	3.53	4.17
ABCB7	3.40	3.38	3.58	4.36	3.92
ABCB8	1.93	2.88	3.02	3.42	4.34
ABCB9	0.37	0.85	1.60	0.69	1.84
ABCC1	1.52	3.66	3.67	3.84	4.00
ABCC10	0.53	2.21	2.56	2.36	3.43
ABCC3	-0.67	2.34	1.85	0.96	1.20
ABCC4	0.31	1.86	2.23	1.01	1.46
ABCC5	2.05	2.99	3.62	4.37	4.97
ABCC6	0.62	1.76	0.79	0.30	1.33
ABCC8	1.36	1.80	0.32	3.95	4.15
ABCC9	0.59	1.93	2.57	2.21	2.79
ABCD1	1.09	3.30	2.68	2.63	3.47
ABCD2	-0.24	1.42	0.82	0.46	-0.11
ABCD3	3.04	3.15	3.53	3.75	3.65
ABCD4	1.65	2.90	3.26	4.09	4.17
ABCE1	3.20	3.20	3.97	3.21	3.57
ABCF1	2.51	3.99	4.17	4.21	5.14
ABCF2	2.40	3.41	3.51	3.38	3.64
ABCF3	2.66	4.34	4.33	4.44	5.52
ABCG1	1.36	2.59	1.58	2.97	2.67
ABCG2	0.04	1.41	1.09	1.58	0.89
ABCG4	-0.11	0.10	0.42	0.74	0.35
ABHD1	0.24	0.43	0.62	0.32	0.89
ABHD10	4.10	3.75	3.43	4.09	4.51
ABHD11	2.86	2.83	2.22	2.57	3.57
ABHD12	4.04	4.48	3.88	4.30	4.82
ABHD12B	0.17	0.02	0.24	0.21	0.59
