archetype #,Feature Name,P value (Hypergeom.),Significant after Benjamini-Hochberg correction?,P maximal
1,overall_survival: 90,0.049383,1,-Inf
1,progression-free_survival: 23,0.049383,1,-Inf
1,progression-free_survival: 37,0.049383,1,-Inf
1,overall_survival: 42,0.096914,1,-Inf
1,overall_survival: 76,0.096914,1,-Inf
1,response_cluster: None,0.18661,1,-Inf
1,overall_survival: NA,0.18661,1,-Inf
1,response_cluster: Exceptional,0.2537,1,-Inf
1,pfs_cluster: Exceptional,0.38164,1,-Inf
1,pfs_cluster: Average,0.56681,1,-Inf
1,progression-free_survival: NA,0.818,1,-Inf
1,pfs_cluster: NA,0.818,1,-Inf
1,response_cluster: Average,0.87265,1,-Inf
1,response_cluster: Poor,1,1,-Inf
1,overall_survival: 10,1,1,-Inf
1,overall_survival: 106,1,1,-Inf
1,overall_survival: 11,1,1,-Inf
1,overall_survival: 115,1,1,-Inf
1,overall_survival: 12,1,1,-Inf
1,overall_survival: 13,1,1,-Inf
1,overall_survival: 15,1,1,-Inf
1,overall_survival: 16,1,1,-Inf
1,overall_survival: 164,1,1,-Inf
1,overall_survival: 17,1,1,-Inf
1,overall_survival: 19,1,1,-Inf
1,overall_survival: 2,1,1,-Inf
1,overall_survival: 20,1,1,-Inf
1,overall_survival: 21,1,1,-Inf
1,overall_survival: 22,1,1,-Inf
1,overall_survival: 23,1,1,-Inf
1,overall_survival: 25,1,1,-Inf
1,overall_survival: 27,1,1,-Inf
1,overall_survival: 28,1,1,-Inf
1,overall_survival: 29,1,1,-Inf
1,overall_survival: 3,1,1,-Inf
1,overall_survival: 30,1,1,-Inf
1,overall_survival: 31,1,1,-Inf
1,overall_survival: 32,1,1,-Inf
1,overall_survival: 33,1,1,-Inf
1,overall_survival: 34,1,1,-Inf
1,overall_survival: 38,1,1,-Inf
1,overall_survival: 39,1,1,-Inf
1,overall_survival: 4,1,1,-Inf
1,overall_survival: 43,1,1,-Inf
1,overall_survival: 46,1,1,-Inf
1,overall_survival: 48,1,1,-Inf
1,overall_survival: 5,1,1,-Inf
1,overall_survival: 58,1,1,-Inf
1,overall_survival: 65,1,1,-Inf
1,overall_survival: 69,1,1,-Inf
1,overall_survival: 7,1,1,-Inf
1,overall_survival: 72,1,1,-Inf
1,overall_survival: 77,1,1,-Inf
1,overall_survival: 79,1,1,-Inf
1,overall_survival: 8,1,1,-Inf
1,overall_survival: 84,1,1,-Inf
1,overall_survival: 95,1,1,-Inf
1,progression-free_survival: 10,1,1,-Inf
1,progression-free_survival: 11,1,1,-Inf
1,progression-free_survival: 12,1,1,-Inf
1,progression-free_survival: 13,1,1,-Inf
1,progression-free_survival: 14,1,1,-Inf
1,progression-free_survival: 15,1,1,-Inf
1,progression-free_survival: 18,1,1,-Inf
1,progression-free_survival: 2,1,1,-Inf
1,progression-free_survival: 22,1,1,-Inf
1,progression-free_survival: 27,1,1,-Inf
1,progression-free_survival: 3,1,1,-Inf
1,progression-free_survival: 32,1,1,-Inf
1,progression-free_survival: 36,1,1,-Inf
1,progression-free_survival: 39,1,1,-Inf
1,progression-free_survival: 40,1,1,-Inf
1,progression-free_survival: 48,1,1,-Inf
1,progression-free_survival: 5,1,1,-Inf
1,progression-free_survival: 6,1,1,-Inf
1,progression-free_survival: 7,1,1,-Inf
1,progression-free_survival: 74,1,1,-Inf
1,progression-free_survival: 9,1,1,-Inf
1,progression-free_survival: 93,1,1,-Inf
1,pfs_cluster: Poor,1,1,-Inf
2,response_cluster: Poor,0.085019,1,-Inf
2,overall_survival: 13,0.096914,1,-Inf
2,overall_survival: 15,0.096914,1,-Inf
2,response_cluster: None,0.18661,1,-Inf
2,overall_survival: 10,0.18661,1,-Inf
2,overall_survival: NA,0.18661,1,-Inf
2,progression-free_survival: 7,0.18661,1,-Inf
2,pfs_cluster: Poor,0.38164,1,-Inf
2,progression-free_survival: NA,0.46002,1,-Inf
2,pfs_cluster: NA,0.46002,1,-Inf
2,response_cluster: Average,1,1,-Inf
2,response_cluster: Exceptional,1,1,-Inf
2,overall_survival: 106,1,1,-Inf
2,overall_survival: 11,1,1,-Inf
2,overall_survival: 115,1,1,-Inf
2,overall_survival: 12,1,1,-Inf
2,overall_survival: 16,1,1,-Inf
2,overall_survival: 164,1,1,-Inf
2,overall_survival: 17,1,1,-Inf
2,overall_survival: 19,1,1,-Inf
2,overall_survival: 2,1,1,-Inf
2,overall_survival: 20,1,1,-Inf
2,overall_survival: 21,1,1,-Inf
2,overall_survival: 22,1,1,-Inf
2,overall_survival: 23,1,1,-Inf
2,overall_survival: 25,1,1,-Inf
2,overall_survival: 27,1,1,-Inf
2,overall_survival: 28,1,1,-Inf
2,overall_survival: 29,1,1,-Inf
2,overall_survival: 3,1,1,-Inf
2,overall_survival: 30,1,1,-Inf
2,overall_survival: 31,1,1,-Inf
2,overall_survival: 32,1,1,-Inf
2,overall_survival: 33,1,1,-Inf
2,overall_survival: 34,1,1,-Inf
2,overall_survival: 38,1,1,-Inf
2,overall_survival: 39,1,1,-Inf
2,overall_survival: 4,1,1,-Inf
2,overall_survival: 42,1,1,-Inf
2,overall_survival: 43,1,1,-Inf
2,overall_survival: 46,1,1,-Inf
2,overall_survival: 48,1,1,-Inf
2,overall_survival: 5,1,1,-Inf
2,overall_survival: 58,1,1,-Inf
2,overall_survival: 65,1,1,-Inf
2,overall_survival: 69,1,1,-Inf
2,overall_survival: 7,1,1,-Inf
2,overall_survival: 72,1,1,-Inf
2,overall_survival: 76,1,1,-Inf
2,overall_survival: 77,1,1,-Inf
2,overall_survival: 79,1,1,-Inf
2,overall_survival: 8,1,1,-Inf
2,overall_survival: 84,1,1,-Inf
2,overall_survival: 90,1,1,-Inf
2,overall_survival: 95,1,1,-Inf
2,progression-free_survival: 10,1,1,-Inf
2,progression-free_survival: 11,1,1,-Inf
2,progression-free_survival: 12,1,1,-Inf
2,progression-free_survival: 13,1,1,-Inf
