archetype #,Feature Name,P value (Hypergeom.),Significant after Benjamini-Hochberg correction?,Is first bin maximal?
1,breast carcinoma estrogen receptor status: Negative,0,1,1
1,PAM50: Basal,0,1,1
1,breast carcinoma progesterone receptor status: Negative,2.2204e-15,1,1
1,route of administration: Intravenous (IV),2.0877e-05,1,0
1,breast carcinoma immunohistochemistry pos cell score: 0,3.1898e-05,1,1
1,er level cell percentage category: <10,9.7719e-05,1,1
1,drug therapy ongoing: NO,0.00015892,1,0
1,pathologic T: T2,0.00016838,1,1
1,tumor necrosis percent: 5,0.00033227,1,1
1,PAM50 sample type: tumor,0.00034053,1,1
1,pathologic stage: Stage IIA,0.00048213,1,1
1,immunohistochemistry positive cell score: 0,0.00072796,1,1
1,sample type: Primary Tumor,0.00090596,1,1
1,method of normal sample procurement: Excisional biopsy,0.0010869,1,1
1,icd o 3 site: C50.4,0.0022047,1,1
1,drug name: cytoxan,doxorubicin,paclitaxel,0.0024302,1,1
1,her2 immunohistochemistry level result: 0,0.0043168,0,1
1,tumor nuclei percent: 85,0.0043752,0,1
1,menopause status: Indeterminate (neither Pre or Postmenopausal),0.0044823,0,1
1,margin status: Negative,0.0053971,0,1
1,prior dx: No,0.0070306,0,1
1,histological type: Medullary Carcinoma,0.0070572,0,1
1,icd o 3 histology: 8510/3,0.0070572,0,1
1,icd o 3 histology: 8500/3,0.007349,0,0
1,breast carcinoma surgical procedure name: Simple Mastectomy,0.0083008,0,1
1,progesterone receptor level cell percent category: <10,0.010104,0,1
1,anatomic neoplasm subdivision: Right Upper Inner Quadrant,0.010346,0,1
1,histological type: Infiltrating Ductal Carcinoma,0.011033,0,0
1,breast carcinoma estrogen receptor status: [Not Evaluated],0.013664,0,1
1,breast carcinoma progesterone receptor status: [Not Evaluated],0.013664,0,1
1,vital status: alive,0.014476,0,1
1,gender: FEMALE,0.01453,0,1
1,history of neoadjuvant treatment: No,0.01453,0,1
1,pathologic N: N0 (i-),0.016693,0,1
1,pathologic M: M0,0.01731,0,1
1,cytokeratin immunohistochemistry staining method micrometastasis indicator: YES,0.018956,0,1
1,normal tissue anatomic site: BREAST,0.019091,0,1
1,tissue prospective collection indicator: NO,0.020522,0,1
1,tissue retrospective collection indicator: YES,0.020522,0,1
1,initial pathologic diagnosis method: Excisional Biopsy,0.023933,0,1
1,icd 10: C50.9,0.02455,0,1
1,lab procedure her2 neu in situ hybrid outcome type: [Not Evaluated],0.024882,0,1
1,lab proc her2 neu immunohistochemistry receptor status: Negative,0.027782,0,0
1,tumor nuclei percent: 80,0.03083,0,0
1,axillary lymph node stage method type: Sentinel lymph node biopsy plus axillary dissection,0.030934,0,1
1,lab proc her2 neu immunohistochemistry receptor status: [Not Evaluated],0.039112,0,1
1,oct embedded: true,0.040779,0,1
1,drug name: adriamycin,capecetabine,cytoxan,docetaxel,tamoxifen,zometa,0.049729,0,1
1,drug name: adriamycin,cyclophosphamide,taxol,0.049729,0,1
1,drug name: carboplatin,docetaxel,fareston,tamoxifen,trastuzumab,zoledronic,0.049729,0,1
1,drug name: cyclophosphamide,doxorubicin,paclitaxel,paclitaxel,0.049729,0,1
1,drug name: cytoxan,docetaxel,0.049729,0,1
1,drug name: tamoxifen,na,0.049729,0,1
1,icd o 3 histology: 8013/3,0.049729,0,1
1,surgical procedure purpose other text: Pateys surgery,0.049729,0,1
1,initial pathologic diagnosis method: Fine needle aspiration biopsy,0.050179,0,0
1,tumor necrosis percent: 15,0.056078,0,1
1,route of administration: Oral,NA,0.056078,0,1
1,her2 erbb pos finding cell percent category: <10,0.067972,0,1
1,pathologic N: N0,0.068366,0,1
1,section location: BOTTOM,TOP,0.069607,0,0
1,drug name: cyclophosphamide,doxorubicin,paclitaxel,0.069842,0,0
1,axillary lymph node stage method type: Other (specify),0.069842,0,1
1,race: BLACK OR AFRICAN AMERICAN,0.072972,0,1
1,pathologic N: N1,0.076417,0,1
1,anatomic treatment site: none,0.078361,0,0
1,radiation treatment ongoing: none,0.078361,0,0
1,radiation type: none,0.078361,0,0
1,radiation regimen indication: none,0.078361,0,0
1,tumor necrosis percent: 20,0.078547,0,0
1,tumor necrosis percent: 2,0.084579,0,1
1,initial pathologic diagnosis method: Tumor resection,0.08655,0,0
1,drug name: anastrozole,arimidex,bevacizumab,cyclophosphamide,doxorubicin,paclitaxel,taxol,0.097027,0,1
1,drug name: cyclophosphamide,doxorubicin,0.097027,0,1
1,drug name: taxane,arimidex,cytoxan,doxorubicin,0.097027,0,1
1,drug regimen indication: ADJUVANT,PALLIATIVE,0.097027,0,1
1,anatomic neoplasm subdivision: Right Upper Inner Quadrant|Right Upper Outer Quadrant,0.097027,0,1
1,surgical procedure purpose other text: Modified radical mastectomy with left breast biopsy,0.097027,0,1
1,surgical procedure purpose other text: Total Mastectomy,0.097027,0,1
1,surgical procedure purpose other text: Wide Local Excision,0.097027,0,1
1,surgical procedure purpose other text: localized segmental mastectomy with axillary node dissection,0.097027,0,1
1,anatomic treatment site: Distant site,Primary Tumor Field,0.097027,0,1
1,drug name: none,0.099113,0,0
1,drug regimen indication: none,0.099113,0,0
1,drug regimen number: none,0.099113,0,0
1,route of administration: none,0.099113,0,0
1,drug therapy ongoing: none,0.099113,0,0
1,pathologic stage: Stage IIB,0.10078,0,0
1,person neoplasm cancer status: TUMOR FREE,0.11713,0,0
1,axillary lymph node stage method type: No axillary staging,0.12353,0,0
1,anatomic neoplasm subdivision: Left Upper Outer Quadrant,0.12529,0,0
1,tumor nuclei percent: 90,0.12794,0,1
1,cytokeratin immunohistochemistry staining method micrometastasis indicator: NO,0.13572,0,0
1,anatomic neoplasm subdivision: Right Upper Outer Quadrant,0.14131,0,0
1,tumor necrosis percent: 3,0.14201,0,1
1,drug name: cyclophosphamide,docetaxel,doxorubicin,0.14201,0,1
1,drug name: cytoxan,taxotere,0.14201,0,1
1,drug regimen indication: ADJUVANT,PROGRESSION,0.14201,0,1
1,number of lymphnodes positive by ihc: 4,0.14201,0,1
1,pathologic T: TX,0.14201,0,1
1,radiation regimen indication: ADJUVANT,PALLIATIVE,0.14201,0,1
1,axillary lymph node stage method type: Axillary lymph node dissection alone,0.1681,0,0
1,number of lymphnodes positive by ihc: 0,0.18135,0,0
1,anatomic neoplasm subdivision: Right Lower Inner Quadrant|Right Lower Outer Quadrant|Right,0.1848,0,0
1,icd 10: C50.4,0.1848,0,1
1,system version: 6th,0.19866,0,0
1,radiation type: EXTERNAL BEAM,0.21559,0,0
1,menopause status: Pre (<6 months since LMP AND no prior bilateral ovariectomy AND not on estrogen replacement),0.21861,0,0
1,drug regimen number: 1,2,0.22282,0,0
1,drug regimen number: 1,2,3,0.22314,0,0
1,anatomic neoplasm subdivision: Left Upper Outer Quadrant|Left,0.22314,0,0
1,race: WHITE,0.22728,0,0
1,radiation treatment ongoing: NO,0.26197,0,0
1,drug name: doxorubicine,0.26417,0,1
1,er level cell percentage category: 20-29,0.26417,0,0
1,anatomic treatment site: Primary Tumor Field,Regional site,0.26417,0,1
1,pathologic N: N1b,0.27791,0,0
1,race: ASIAN,0.27791,0,0
