archetype #,Feature Name,P value (Hypergeom.),Significant after Benjamini-Hochberg correction?,Is first bin maximal?
1,breast carcinoma estrogen receptor status: Negative,0,1,1
1,PAM50: Basal,0,1,1
1,breast carcinoma progesterone receptor status: Negative,2.2204e-15,1,1
1,breast carcinoma immunohistochemistry pos cell score: 0,3.1898e-05,1,1
1,er level cell percentage category: <10,9.7719e-05,1,1
1,pathologic T: T2,0.00016838,1,1
1,tumor necrosis percent: 5,0.00033227,1,1
1,PAM50 sample type: tumor,0.00034053,1,1
1,pathologic stage: Stage IIA,0.00048213,1,1
1,immunohistochemistry positive cell score: 0,0.00072796,1,1
1,sample type: Primary Tumor,0.00090596,1,1
1,method of normal sample procurement: Excisional biopsy,0.0010869,1,1
1,icd o 3 site: C50.4,0.0022047,1,1
1,drug name: cytoxan,doxorubicin,paclitaxel,0.0024302,1,1
2,PAM50: LumB,1.3827e-08,1,1
2,anatomic neoplasm subdivision: Left Lower Inner Quadrant|Left Lower Outer Quadrant|Left,0.00011667,1,1
2,breast carcinoma estrogen receptor status: Positive,0.00020689,1,1
2,route of administration: Intravenous (IV),Oral,NA,0.00045017,1,1
2,lab proc her2 neu immunohistochemistry receptor status: Equivocal,0.00072145,1,1
2,system version: 7th,0.0022047,1,1
2,drug name: adriamycin,cytoxan,femara,taxotere,0.0024302,1,1
3,route of administration: NA,9.992e-16,1,1
3,oct embedded: NA,5.5511e-15,1,1
3,sample type: NA,5.5511e-15,1,1
3,normal tissue anatomic site: NA,5.5511e-15,1,1
3,section location: NA,5.5511e-15,1,1
3,drug therapy ongoing: NA,5.5511e-15,1,1
3,anatomic neoplasm subdivision: NA,5.5511e-15,1,1
3,breast carcinoma estrogen receptor status: NA,5.5511e-15,1,1
3,breast carcinoma progesterone receptor status: NA,5.5511e-15,1,1
3,gender: NA,5.5511e-15,1,1
3,icd 10: NA,5.5511e-15,1,1
3,icd o 3 histology: NA,5.5511e-15,1,1
3,icd o 3 site: NA,5.5511e-15,1,1
3,pathologic M: NA,5.5511e-15,1,1
3,pathologic N: NA,5.5511e-15,1,1
3,pathologic T: NA,5.5511e-15,1,1
3,prior dx: NA,5.5511e-15,1,1
3,tissue prospective collection indicator: NA,5.5511e-15,1,1
3,tissue retrospective collection indicator: NA,5.5511e-15,1,1
3,vital status: NA,5.5511e-15,1,1
3,radiation treatment ongoing: NA,5.5511e-15,1,1
3,histological type: NA,6.2172e-15,1,1
3,history of neoadjuvant treatment: NA,6.2172e-15,1,1
3,drug name: NA,6.8834e-15,1,1
3,pathologic stage: NA,6.8834e-15,1,1
3,drug regimen indication: NA,7.6605e-15,1,1
3,anatomic treatment site: NA,7.6605e-15,1,1
3,radiation type: NA,7.6605e-15,1,1
3,radiation regimen indication: NA,7.6605e-15,1,1
3,lab proc her2 neu immunohistochemistry receptor status: NA,1.8319e-14,1,1
3,drug regimen number: NA,3.8525e-14,1,1
3,breast carcinoma surgical procedure name: NA,5.862e-14,1,1
3,method of normal sample procurement: NA,2.0017e-13,1,1
3,menopause status: NA,2.2038e-13,1,1
3,lab procedure her2 neu in situ hybrid outcome type: NA,7.7172e-13,1,1
3,tumor necrosis percent: NA,9.367e-13,1,1
3,tumor nuclei percent: NA,9.367e-13,1,1
3,margin status: NA,1.0714e-12,1,1
3,person neoplasm cancer status: NA,4.1465e-12,1,1
3,initial pathologic diagnosis method: NA,2.4945e-11,1,1
3,race: NA,2.9778e-11,1,1
3,PAM50 sample type: NA,2.0517e-10,1,1
3,PAM50: NA,2.0517e-10,1,1
3,system version: NA,6.306e-09,1,1
3,her2 immunohistochemistry level result: NA,9.8623e-08,1,1
3,axillary lymph node stage method type: NA,2.3421e-07,1,1
3,cytokeratin immunohistochemistry staining method micrometastasis indicator: NA,4.0024e-06,1,1
3,surgical procedure purpose other text: NA,0.00011417,1,1
3,er level cell percentage category: NA,0.0011248,1,1
4,tumor necrosis percent: NA,0,1,1
4,tumor nuclei percent: NA,0,1,1
4,method of normal sample procurement: Tumor Resection,0,1,1
4,section location: TOP,2.7661e-08,1,1
4,PAM50 sample type: NA,4.2678e-07,1,1
4,PAM50: NA,4.2678e-07,1,1
4,vital status: dead,5.0688e-07,1,1
4,system version: 5th,7.8432e-07,1,1
4,method of normal sample procurement: Other method (please specify),5.5001e-06,1,1
4,initial pathologic diagnosis method: Fine needle aspiration biopsy,0.001027,1,1
4,menopause status: NA,0.0012972,1,1
4,anatomic neoplasm subdivision: Left,0.0018633,1,1
4,margin status: NA,0.002136,1,1
4,her2 immunohistochemistry level result: NA,0.0024458,1,1
4,axillary lymph node stage method type: NA,0.0025874,1,1
4,cytokeratin immunohistochemistry staining method micrometastasis indicator: NA,0.0029768,1,1
