archetype #,Feature Name,P value (Mann-Whitney),Median Difference,Mean Difference,Significant after Benjamini-Hochberg correction?,Is first bin maximal?
1,percent tumor cells,2.3229e-06,9,18.1029,1,1
1,percent tumor nuclei,1.5862e-07,7.5,16.8307,1,1
1,percent necrosis,3.3468e-05,2.5,2.6471,1,1
1,MITOTIC CELL CYCLE,5.2545e-32,0.80228,0.79987,1,1
1,REACTOME MITOTIC M M G1 PHASES,2.0505e-30,0.72768,0.76213,1,1
1,REACTOME DNA REPLICATION,1.3136e-29,0.70398,0.72791,1,1
1,CELL CYCLE PROCESS,3.5681e-30,0.67799,0.67743,1,1
1,REACTOME CELL CYCLE MITOTIC,2.113e-30,0.65007,0.65499,1,1
1,REACTOME CELL CYCLE,6.815e-29,0.58684,0.57411,1,1
1,CELL CYCLE GO 0007049,2.3246e-29,0.46326,0.45811,1,1
1,REACTOME MRNA PROCESSING,9.9144e-30,0.45923,0.4442,1,1
1,REACTOME PROCESSING OF CAPPED INTRON CONTAINING PRE MRNA,4.5245e-29,0.45184,0.44075,1,1
1,REACTOME METABOLISM OF RNA,6.4533e-19,0.43444,0.3668,1,1
1,REACTOME INFLUENZA LIFE CYCLE,7.2692e-13,0.42992,0.39201,1,1
1,REACTOME HOST INTERACTIONS OF HIV FACTORS,2.5794e-24,0.41418,0.40843,1,1
1,REACTOME TRANSLATION,7.1134e-10,0.39759,0.33655,1,1
1,RNA PROCESSING,4.1954e-28,0.38515,0.36248,1,1
1,RIBONUCLEOPROTEIN COMPLEX,1.7304e-21,0.37775,0.35627,1,1
1,REACTOME METABOLISM OF MRNA,1.4611e-14,0.37501,0.31962,1,1
1,REACTOME HIV INFECTION,6.705e-26,0.37382,0.38713,1,1
1,NUCLEAR PART,2.9494e-31,0.36746,0.35092,1,1
1,DNA METABOLIC PROCESS,1.2386e-28,0.36603,0.3546,1,1
1,RNA BINDING,1.421e-19,0.3511,0.30407,1,1
1,REGULATION OF CELL CYCLE,9.1202e-26,0.34906,0.34096,1,1
1,NUCLEAR LUMEN,7.439e-31,0.31888,0.32797,1,1
1,INTRACELLULAR NON MEMBRANE BOUND ORGANELLE,1.3736e-30,0.30301,0.29448,1,1
1,NON MEMBRANE BOUND ORGANELLE,1.3736e-30,0.30301,0.29448,1,1
1,ORGANELLE LUMEN,4.5533e-30,0.30161,0.31055,1,1
1,MEMBRANE ENCLOSED LUMEN,4.5533e-30,0.30161,0.31055,1,1
1,TRANSLATION,1.11e-11,0.28013,0.25647,1,1
1,NUCLEOPLASM,1.7636e-27,0.26727,0.27203,1,1
1,ENVELOPE,2.2027e-20,0.26697,0.26667,1,1
1,ORGANELLE ENVELOPE,2.2027e-20,0.26697,0.26667,1,1
1,REACTOME METABOLISM OF PROTEINS,1.7237e-12,0.26358,0.21908,1,1
1,REACTOME CLASS I MHC MEDIATED ANTIGEN PROCESSING PRESENTATION,1.2345e-15,0.26055,0.22761,1,1
1,CELLULAR BIOSYNTHETIC PROCESS,3.7742e-16,0.25259,0.23797,1,1
1,REACTOME ANTIGEN PROCESSING UBIQUITINATION PROTEASOME DEGRADATION,8.9798e-19,0.24523,0.24956,1,1
1,INTRACELLULAR ORGANELLE PART,6.2127e-29,0.24044,0.25341,1,1
1,CYTOSKELETAL PART,6.6325e-18,0.23824,0.24993,1,1
1,ORGANELLE PART,7.9632e-29,0.23812,0.25221,1,1
1,NUCLEUS,4.8922e-29,0.23577,0.21654,1,1
1,REACTOME APOPTOSIS,9.5999e-18,0.23553,0.23487,1,1
1,NUCLEOPLASM PART,7.324e-27,0.23341,0.24687,1,1
1,REACTOME ADAPTIVE IMMUNE SYSTEM,2.7359e-12,0.20064,0.18124,1,1
1,BIOSYNTHETIC PROCESS,2.7923e-16,0.19054,0.18666,1,1
1,MACROMOLECULAR COMPLEX,7.1741e-25,0.19008,0.20729,1,1
